BSSID,ESSID,RSSI,POSITION_Y,POSITION_X
0c:d2:b5:31:31:6c,MTNL_31316C_1,-79,169,52
0c:d2:b5:31:31:6c,MTNL_31316C_1,-67,169,52
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,169,52
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,169,53
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,169,53
18:0f:76:c6:6c:a2,TUJHE KYA,-83,169,53
0c:d2:b5:31:31:6c,MTNL_31316C_1,-71,169,54
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,169,54
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,169,54
18:0f:76:c6:6c:a2,TUJHE KYA,-77,169,55
18:0f:76:c6:6c:a2,TUJHE KYA,-77,169,55
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,169,57
18:0f:76:c6:6c:a2,TUJHE KYA,-85,169,57
0c:d2:b5:31:31:6c,MTNL_31316C_1,-69,169,58
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,169,58
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,169,59
18:0f:76:c6:6c:a2,TUJHE KYA,-77,169,59
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,169,60
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,169,60
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,169,61
0c:d2:b5:31:31:6c,MTNL_31316C_1,-79,169,61
0c:d2:b5:31:31:6c,MTNL_31316C_1,-79,169,61
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-59,169,61
0c:d2:b5:31:31:6c,MTNL_31316C_1,-79,169,63
0c:d2:b5:31:31:6c,MTNL_31316C_1,-75,169,63
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,169,63
18:0f:76:c6:6c:a2,TUJHE KYA,-77,169,63
18:0f:76:c6:6c:a2,TUJHE KYA,-83,169,64
0c:d2:b5:31:31:6c,MTNL_31316C_1,-77,169,65
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,169,65
0c:d2:b5:2e:77:d0,MTNL_2E77D0_1,-61,169,65
18:0f:76:c6:6c:a2,TUJHE KYA,-83,169,65
0c:d2:b5:31:31:6c,MTNL_31316C_1,-73,169,66
